,Term,Estimate,X2.5..,X97.5..,%Difference,%Lower,%Higher,Pr...t..
(Intercept)...1,(Intercept),0.67,0.59,0.75,-33.38,-40.52,-25.40,0.00
FOODSECMarginally Food Secure...2,FOODSECMarginally Food Secure,1.02,0.94,1.10,1.80,-5.91,10.15,0.65
FOODSECLow Food Security...3,FOODSECLow Food Security,1.08,0.99,1.17,7.53,-1.27,17.12,0.09
FOODSECVery Low Food Secure...4,FOODSECVery Low Food Secure,1.08,0.96,1.21,7.61,-4.48,21.23,0.22
URXUCR_final...5,URXUCR_final,1.00,1.00,1.00,0.00,0.00,0.00,0.00
SEXFemale...6,SEXFemale,1.13,1.08,1.18,12.99,7.93,18.29,0.00
AGEGROUP32-46...7,AGEGROUP32-46,0.96,0.90,1.03,-3.99,-10.41,2.89,0.24
AGEGROUP47-63...8,AGEGROUP47-63,1.00,0.93,1.07,-0.34,-7.48,7.36,0.93
AGEGROUP64-85...9,AGEGROUP64-85,1.01,0.93,1.09,0.53,-7.35,9.08,0.90
EDUCATHigh school graduate/GED or equivalent equivalent...10,EDUCATHigh school graduate/GED or equivalent equivalent,1.05,0.96,1.14,4.54,-4.25,14.13,0.32
EDUCATSome college or AA degree...11,EDUCATSome college or AA degree,1.07,0.98,1.16,6.66,-1.53,15.53,0.11
EDUCATCollege or above...12,EDUCATCollege or above,0.96,0.89,1.04,-3.78,-11.09,4.14,0.33
RACEETHNH Black...13,RACEETHNH Black,0.95,0.89,1.01,-5.18,-10.71,0.69,0.08
RACEETHMexican-American...14,RACEETHMexican-American,0.99,0.92,1.07,-0.86,-7.86,6.69,0.82
RACEETHOther Hispanic...15,RACEETHOther Hispanic,1.00,0.91,1.11,0.44,-8.86,10.69,0.93
RACEETHOther...16,RACEETHOther,0.90,0.81,1.01,-9.68,-19.27,1.06,0.07
PIRCATNear Poverty...17,PIRCATNear Poverty,0.99,0.94,1.05,-0.57,-6.00,5.18,0.84
PIRCATMiddle Income...18,PIRCATMiddle Income,0.98,0.91,1.07,-1.63,-9.41,6.82,0.69
PIRCATUpper-Middle Income...19,PIRCATUpper-Middle Income,0.89,0.83,0.97,-10.53,-17.12,-3.42,0.00
PIRCATHigh Income...20,PIRCATHigh Income,0.92,0.84,1.00,-7.89,-15.57,0.48,0.06
cycleyr2007-2008...21,cycleyr2007-2008,1.12,1.03,1.23,12.15,2.59,22.61,0.01
cycleyr2009-2010...22,cycleyr2009-2010,1.06,0.97,1.15,5.55,-2.84,14.66,0.20
cycleyr2011-2012...23,cycleyr2011-2012,0.91,0.84,0.98,-8.96,-15.84,-1.53,0.02
cycleyr2013-2014...24,cycleyr2013-2014,0.70,0.64,0.75,-30.27,-35.56,-24.53,0.00
cycleyr2015-2016...25,cycleyr2015-2016,0.60,0.55,0.65,-40.08,-45.08,-34.63,0.00
(Intercept)...26,(Intercept),2.53,1.92,3.34,153.21,91.76,234.37,0.00
FOODSECMarginally Food Secure...27,FOODSECMarginally Food Secure,0.80,0.68,0.94,-19.82,-31.68,-5.91,0.01
FOODSECLow Food Security...28,FOODSECLow Food Security,0.83,0.71,0.96,-17.40,-29.05,-3.84,0.01
FOODSECVery Low Food Secure...29,FOODSECVery Low Food Secure,0.80,0.65,1.00,-19.55,-35.27,-0.02,0.05
URXUCR_final...30,URXUCR_final,1.00,1.00,1.00,0.00,0.00,0.00,0.00
SEXFemale...31,SEXFemale,2.67,2.37,3.01,166.95,136.92,200.78,0.00
AGEGROUP32-46...32,AGEGROUP32-46,0.88,0.75,1.04,-11.76,-25.00,3.81,0.13
AGEGROUP47-63...33,AGEGROUP47-63,0.74,0.62,0.88,-25.94,-37.77,-11.87,0.00
AGEGROUP64-85...34,AGEGROUP64-85,0.63,0.53,0.75,-37.11,-47.20,-25.10,0.00
EDUCATHigh school graduate/GED or equivalent equivalent...35,EDUCATHigh school graduate/GED or equivalent equivalent,1.18,1.01,1.38,17.66,0.54,37.71,0.04
EDUCATSome college or AA degree...36,EDUCATSome college or AA degree,1.54,1.30,1.82,53.68,29.54,82.31,0.00
EDUCATCollege or above...37,EDUCATCollege or above,2.39,1.97,2.90,138.61,96.51,189.74,0.00
RACEETHNH Black...38,RACEETHNH Black,0.45,0.39,0.52,-54.81,-60.74,-47.97,0.00
RACEETHMexican-American...39,RACEETHMexican-American,1.17,1.00,1.36,16.66,0.08,35.99,0.05
RACEETHOther Hispanic...40,RACEETHOther Hispanic,1.22,0.99,1.51,21.94,-1.27,50.62,0.07
RACEETHOther...41,RACEETHOther,0.66,0.54,0.82,-33.64,-46.07,-18.33,0.00
PIRCATNear Poverty...42,PIRCATNear Poverty,1.22,1.04,1.43,21.85,4.14,42.58,0.01
PIRCATMiddle Income...43,PIRCATMiddle Income,1.33,1.09,1.61,32.86,9.39,61.37,0.00
PIRCATUpper-Middle Income...44,PIRCATUpper-Middle Income,1.83,1.51,2.23,83.15,50.55,122.82,0.00
PIRCATHigh Income...45,PIRCATHigh Income,2.40,1.94,2.97,140.00,93.78,197.24,0.00
cycleyr2007-2008...46,cycleyr2007-2008,1.01,0.78,1.32,1.42,-22.24,32.29,0.92
cycleyr2009-2010...47,cycleyr2009-2010,1.28,1.00,1.64,28.24,0.13,64.25,0.05
cycleyr2011-2012...48,cycleyr2011-2012,1.41,1.05,1.90,41.36,5.02,90.26,0.02
cycleyr2013-2014...49,cycleyr2013-2014,1.45,1.17,1.80,45.11,16.84,80.22,0.00
cycleyr2015-2016...50,cycleyr2015-2016,1.10,0.88,1.38,10.16,-12.17,38.16,0.40
(Intercept)...51,(Intercept),5.77,4.40,7.58,477.39,339.67,658.25,0.00
FOODSECMarginally Food Secure...52,FOODSECMarginally Food Secure,0.85,0.71,1.02,-14.72,-28.86,2.22,0.08
FOODSECLow Food Security...53,FOODSECLow Food Security,0.87,0.75,1.02,-12.65,-25.06,1.80,0.08
FOODSECVery Low Food Secure...54,FOODSECVery Low Food Secure,0.76,0.63,0.90,-24.46,-36.76,-9.77,0.00
URXUCR_final...55,URXUCR_final,1.00,1.00,1.00,0.00,0.00,0.00,0.00
SEXFemale...56,SEXFemale,1.18,1.07,1.30,17.76,6.66,30.01,0.00
AGEGROUP32-46...57,AGEGROUP32-46,0.87,0.77,0.99,-12.74,-23.36,-0.64,0.04
AGEGROUP47-63...58,AGEGROUP47-63,0.88,0.76,1.01,-12.39,-23.80,0.73,0.06
AGEGROUP64-85...59,AGEGROUP64-85,0.94,0.82,1.09,-5.83,-18.42,8.70,0.41
EDUCATHigh school graduate/GED or equivalent equivalent...60,EDUCATHigh school graduate/GED or equivalent equivalent,1.10,0.97,1.25,10.20,-3.11,25.34,0.14
EDUCATSome college or AA degree...61,EDUCATSome college or AA degree,1.27,1.10,1.46,27.12,10.35,46.45,0.00
EDUCATCollege or above...62,EDUCATCollege or above,1.32,1.12,1.56,32.35,12.07,56.29,0.00
RACEETHNH Black...63,RACEETHNH Black,0.81,0.73,0.90,-19.21,-27.36,-10.16,0.00
RACEETHMexican-American...64,RACEETHMexican-American,1.57,1.34,1.84,56.54,33.50,83.56,0.00
RACEETHOther Hispanic...65,RACEETHOther Hispanic,1.49,1.24,1.79,49.17,24.35,78.96,0.00
RACEETHOther...66,RACEETHOther,1.14,0.94,1.38,14.03,-6.05,38.40,0.18
PIRCATNear Poverty...67,PIRCATNear Poverty,1.15,1.01,1.31,15.00,0.90,31.08,0.04
PIRCATMiddle Income...68,PIRCATMiddle Income,1.22,1.05,1.43,22.27,4.68,42.82,0.01
PIRCATUpper-Middle Income...69,PIRCATUpper-Middle Income,1.57,1.33,1.86,57.24,32.83,86.12,0.00
PIRCATHigh Income...70,PIRCATHigh Income,1.63,1.34,1.99,63.26,33.80,99.21,0.00
cycleyr2007-2008...71,cycleyr2007-2008,0.80,0.66,0.96,-20.17,-33.69,-3.89,0.02
cycleyr2009-2010...72,cycleyr2009-2010,0.84,0.67,1.04,-16.40,-32.81,4.01,0.11
cycleyr2011-2012...73,cycleyr2011-2012,0.66,0.55,0.80,-33.51,-45.08,-19.51,0.00
cycleyr2013-2014...74,cycleyr2013-2014,0.54,0.46,0.64,-45.51,-53.80,-35.75,0.00
cycleyr2015-2016...75,cycleyr2015-2016,0.31,0.25,0.39,-68.65,-74.96,-60.76,0.00
(Intercept)...76,(Intercept),0.15,0.12,0.18,-85.46,-88.04,-82.34,0.00
FOODSECMarginally Food Secure...77,FOODSECMarginally Food Secure,0.86,0.79,0.94,-14.08,-21.33,-6.15,0.00
FOODSECLow Food Security...78,FOODSECLow Food Security,0.87,0.77,0.99,-12.94,-23.29,-1.18,0.03
FOODSECVery Low Food Secure...79,FOODSECVery Low Food Secure,0.75,0.65,0.85,-25.49,-34.95,-14.66,0.00
URXUCR_final...80,URXUCR_final,1.00,1.00,1.00,0.00,0.00,0.00,0.00
SEXFemale...81,SEXFemale,3.45,3.23,3.70,245.33,222.63,269.64,0.00
AGEGROUP32-46...82,AGEGROUP32-46,0.99,0.89,1.10,-1.33,-11.15,9.57,0.80
AGEGROUP47-63...83,AGEGROUP47-63,0.98,0.88,1.10,-1.59,-11.94,9.98,0.77
AGEGROUP64-85...84,AGEGROUP64-85,0.91,0.82,1.01,-9.37,-18.41,0.67,0.07
EDUCATHigh school graduate/GED or equivalent equivalent...85,EDUCATHigh school graduate/GED or equivalent equivalent,1.04,0.94,1.14,3.51,-5.90,13.87,0.47
EDUCATSome college or AA degree...86,EDUCATSome college or AA degree,1.10,0.99,1.21,9.70,-0.52,20.96,0.06
EDUCATCollege or above...87,EDUCATCollege or above,1.14,1.01,1.27,13.53,1.29,27.26,0.03
RACEETHNH Black...88,RACEETHNH Black,0.93,0.85,1.02,-6.62,-14.91,2.48,0.15
RACEETHMexican-American...89,RACEETHMexican-American,1.34,1.23,1.46,34.08,22.98,46.17,0.00
RACEETHOther Hispanic...90,RACEETHOther Hispanic,1.25,1.10,1.43,25.25,9.86,42.80,0.00
RACEETHOther...91,RACEETHOther,1.15,0.99,1.34,15.04,-1.16,33.88,0.07
PIRCATNear Poverty...92,PIRCATNear Poverty,1.11,0.99,1.25,11.13,-1.00,24.75,0.07
PIRCATMiddle Income...93,PIRCATMiddle Income,1.17,1.01,1.36,17.31,1.30,35.86,0.03
PIRCATUpper-Middle Income...94,PIRCATUpper-Middle Income,1.22,1.07,1.37,21.53,7.50,37.39,0.00
PIRCATHigh Income...95,PIRCATHigh Income,1.38,1.21,1.57,37.72,20.60,57.29,0.00
cycleyr2007-2008...96,cycleyr2007-2008,1.05,0.88,1.24,4.74,-11.75,24.31,0.59
cycleyr2009-2010...97,cycleyr2009-2010,0.82,0.69,0.97,-18.44,-31.22,-3.28,0.02
cycleyr2011-2012...98,cycleyr2011-2012,0.62,0.54,0.73,-37.65,-46.40,-27.47,0.00
cycleyr2013-2014...99,cycleyr2013-2014,0.32,0.27,0.38,-68.24,-73.27,-62.26,0.00
cycleyr2015-2016...100,cycleyr2015-2016,0.26,0.22,0.31,-73.56,-77.65,-68.71,0.00
(Intercept)...101,(Intercept),0.56,0.46,0.69,-43.77,-54.33,-30.78,0.00
FOODSECMarginally Food Secure...102,FOODSECMarginally Food Secure,0.89,0.78,1.01,-10.97,-21.90,1.50,0.08
FOODSECLow Food Security...103,FOODSECLow Food Security,0.94,0.82,1.09,-5.65,-17.98,8.53,0.41
FOODSECVery Low Food Secure...104,FOODSECVery Low Food Secure,0.74,0.65,0.84,-25.96,-35.07,-15.57,0.00
URXUCR_final...105,URXUCR_final,1.00,1.00,1.00,0.00,0.00,0.00,0.00
SEXFemale...106,SEXFemale,2.90,2.67,3.15,190.00,166.96,215.02,0.00
AGEGROUP32-46...107,AGEGROUP32-46,1.11,0.99,1.24,10.99,-1.03,24.47,0.07
AGEGROUP47-63...108,AGEGROUP47-63,1.08,0.96,1.22,8.24,-4.23,22.34,0.20
AGEGROUP64-85...109,AGEGROUP64-85,1.00,0.87,1.15,0.04,-12.72,14.66,1.00
EDUCATHigh school graduate/GED or equivalent equivalent...110,EDUCATHigh school graduate/GED or equivalent equivalent,1.07,0.95,1.20,6.85,-4.88,20.04,0.26
EDUCATSome college or AA degree...111,EDUCATSome college or AA degree,1.15,1.03,1.28,14.87,2.86,28.28,0.01
EDUCATCollege or above...112,EDUCATCollege or above,1.35,1.18,1.54,34.64,17.70,54.03,0.00
RACEETHNH Black...113,RACEETHNH Black,1.17,1.05,1.31,17.08,4.99,30.57,0.01
RACEETHMexican-American...114,RACEETHMexican-American,1.16,1.04,1.28,15.68,4.17,28.46,0.01
RACEETHOther Hispanic...115,RACEETHOther Hispanic,1.14,0.98,1.32,13.68,-1.90,31.73,0.09
RACEETHOther...116,RACEETHOther,1.02,0.88,1.19,1.96,-12.30,18.53,0.80
PIRCATNear Poverty...117,PIRCATNear Poverty,1.02,0.90,1.16,1.97,-10.16,15.73,0.76
PIRCATMiddle Income...118,PIRCATMiddle Income,1.10,0.94,1.29,9.98,-6.45,29.29,0.25
PIRCATUpper-Middle Income...119,PIRCATUpper-Middle Income,1.13,0.97,1.31,12.93,-2.70,31.07,0.11
PIRCATHigh Income...120,PIRCATHigh Income,1.34,1.16,1.55,34.06,15.62,55.44,0.00
cycleyr2007-2008...121,cycleyr2007-2008,1.10,0.91,1.34,10.20,-9.20,33.74,0.32
cycleyr2009-2010...122,cycleyr2009-2010,1.25,1.08,1.46,25.48,8.10,45.65,0.00
cycleyr2011-2012...123,cycleyr2011-2012,1.18,1.03,1.35,17.90,2.63,35.44,0.02
cycleyr2013-2014...124,cycleyr2013-2014,1.16,1.00,1.34,16.18,0.41,34.43,0.04
cycleyr2015-2016...125,cycleyr2015-2016,1.06,0.91,1.23,5.82,-8.67,22.61,0.45
(Intercept)...126,(Intercept),8.42,6.74,10.52,742.17,573.99,952.31,0.00
FOODSECMarginally Food Secure...127,FOODSECMarginally Food Secure,0.83,0.73,0.95,-16.65,-26.78,-5.10,0.01
FOODSECLow Food Security...128,FOODSECLow Food Security,0.85,0.72,1.01,-14.81,-28.35,1.29,0.07
FOODSECVery Low Food Secure...129,FOODSECVery Low Food Secure,0.78,0.65,0.95,-21.53,-35.05,-5.18,0.01
URXUCR_final...130,URXUCR_final,1.00,1.00,1.00,0.00,0.00,0.00,0.00
SEXFemale...131,SEXFemale,4.04,3.72,4.38,303.92,272.39,338.12,0.00
AGEGROUP32-46...132,AGEGROUP32-46,1.13,1.02,1.26,13.44,1.90,26.27,0.02
AGEGROUP47-63...133,AGEGROUP47-63,1.15,1.02,1.29,14.80,1.97,29.23,0.02
AGEGROUP64-85...134,AGEGROUP64-85,1.40,1.23,1.59,39.99,22.97,59.35,0.00
EDUCATHigh school graduate/GED or equivalent equivalent...135,EDUCATHigh school graduate/GED or equivalent equivalent,1.08,0.95,1.23,8.13,-5.15,23.28,0.24
EDUCATSome college or AA degree...136,EDUCATSome college or AA degree,1.21,1.08,1.35,20.72,8.12,34.78,0.00
EDUCATCollege or above...137,EDUCATCollege or above,1.25,1.08,1.45,25.18,8.42,44.54,0.00
RACEETHNH Black...138,RACEETHNH Black,2.54,2.28,2.82,153.83,128.13,182.43,0.00
RACEETHMexican-American...139,RACEETHMexican-American,2.12,1.84,2.43,111.68,84.19,143.27,0.00
RACEETHOther Hispanic...140,RACEETHOther Hispanic,1.72,1.47,2.00,71.53,46.99,100.16,0.00
RACEETHOther...141,RACEETHOther,1.18,1.01,1.36,17.60,1.41,36.38,0.03
cycleyr2007-2008...142,cycleyr2007-2008,1.04,0.87,1.26,4.40,-13.30,25.70,0.65
cycleyr2009-2010...143,cycleyr2009-2010,1.00,0.86,1.17,0.37,-14.16,17.36,0.96
cycleyr2011-2012...144,cycleyr2011-2012,0.79,0.67,0.93,-21.16,-32.83,-7.46,0.00
cycleyr2013-2014...145,cycleyr2013-2014,0.83,0.69,1.00,-16.75,-30.79,0.15,0.05
cycleyr2015-2016...146,cycleyr2015-2016,0.55,0.46,0.66,-45.20,-54.44,-34.09,0.00
(Intercept)...147,(Intercept),0.72,0.54,0.97,-27.52,-46.03,-2.67,0.03
FOODSECMarginally Food Secure...148,FOODSECMarginally Food Secure,0.84,0.71,0.98,-16.26,-28.75,-1.59,0.03
FOODSECLow Food Security...149,FOODSECLow Food Security,0.85,0.68,1.06,-15.16,-32.01,5.85,0.14
FOODSECVery Low Food Secure...150,FOODSECVery Low Food Secure,0.75,0.59,0.95,-25.08,-40.79,-5.20,0.02
URXUCR_final...151,URXUCR_final,1.00,1.00,1.00,0.00,0.00,0.00,0.00
SEXFemale...152,SEXFemale,7.86,7.06,8.76,686.06,605.50,775.82,0.00
