"","Term","Estimate","Std..Error","t.value","Pr...t..","X2.5..","X97.5.."
"(Intercept)...1","(Intercept)",8.99226604015947e-06,0.200753384592402,-57.8777075291894,7.42134389170905e-61,6.0253458395562e-06,1.34201173990971e-05
"FOODSECMarginally Food Secure...2","FOODSECMarginally Food Secure",1.00551066640446,0.0422057858245923,0.13020817234107,0.896775186467928,0.9243345115715,1.09381580758487
"FOODSECLow Food Security...3","FOODSECLow Food Security",1.05949513420931,0.0416611461669952,1.38720394175305,0.169780652645552,0.975019283868147,1.15128998778347
"FOODSECVery Low Food Secure...4","FOODSECVery Low Food Secure",1.04805362599697,0.0557043974277719,0.842568210077295,0.402339673690577,0.937851026375291,1.17120563082462
"log_URXUCR_final...5","log_URXUCR_final",2.41413081555453,0.0135282920428005,65.1478626266564,2.17800837649564e-64,2.34986524478824,2.48015396097115
"SEXFemale...6","SEXFemale",1.18186869485074,0.0220316322617131,7.58440516624476,1.0628228499653e-10,1.13106098900625,1.23495870288607
"AGEGROUP32-46...7","AGEGROUP32-46",0.966183494668417,0.0322816120305544,-1.0656688923392,0.290235307263377,0.905937323404806,1.03043612538364
"AGEGROUP47-63...8","AGEGROUP47-63",1.00711621091902,0.0354165428395926,0.200217457910931,0.841891060049205,0.938431835204732,1.08082763632438
"AGEGROUP64-85...9","AGEGROUP64-85",0.973723032625554,0.0417870963598085,-0.637239216205758,0.526047794182548,0.895860910114052,1.0583523999778
"EDUCATHigh school graduate/GED or equivalent equivalent...10","EDUCATHigh school graduate/GED or equivalent equivalent",1.04114914792317,0.0425402472680048,0.947927096368237,0.346427646301191,0.956457623472292,1.13333985909993
"EDUCATSome college or AA degree...11","EDUCATSome college or AA degree",1.06119597221699,0.0378942460368006,1.56742920067761,0.121524162705096,0.983949068579987,1.14450729962556
"EDUCATCollege or above...12","EDUCATCollege or above",0.974454790797248,0.0387341261264175,-0.668071179150131,0.506285029628963,0.902009765976502,1.05271824665859
"RACEETHNH Black...13","RACEETHNH Black",0.956408491178144,0.0278156485793164,-1.60234139569093,0.113583472718921,0.904795138702735,1.01096608820108
"RACEETHMexican-American...14","RACEETHMexican-American",0.940243209192676,0.0356536173699107,-1.72820343475297,0.0883609192642996,0.875705351246074,1.00953738740432
"RACEETHOther Hispanic...15","RACEETHOther Hispanic",0.979233065140004,0.0452926684158955,-0.46333327278044,0.644562901323887,0.894653327723391,1.07180889641754
"RACEETHOther...16","RACEETHOther",0.89694650395496,0.0526104389125158,-2.06725242739104,0.0424095825657814,0.807600907065943,0.996176482614244
"PIRCAT1-1.99...17","PIRCAT1-1.99",0.977622630860894,0.0304101843920798,-0.744209279803624,0.459240894099196,0.920090962308152,1.03875165339498
"PIRCAT2-2.99...18","PIRCAT2-2.99",0.962404205340817,0.0412986705532961,-0.927892936468955,0.356651601052203,0.886310138733969,1.04503132027885
"PIRCAT3-3.99...19","PIRCAT3-3.99",0.894860019541929,0.0416711958295475,-2.66582164189171,0.00952961688357,0.823494378992806,0.972410346691117
"PIRCAT4+...20","PIRCAT4+",0.887795085995042,0.0363099764749517,-3.2777306180746,0.00163094406065399,0.825775539577843,0.954472586000647
"cycleyr2007-2008...21","cycleyr2007-2008",1.13324805972133,0.0401453756121279,3.11587316829288,0.00265902956225411,1.04604927411114,1.22771574594649
"cycleyr2009-2010...22","cycleyr2009-2010",1.06520482848238,0.0428045423510593,1.47571038990023,0.144505881570627,0.978040831386425,1.16013696996038
"cycleyr2011-2012...23","cycleyr2011-2012",0.936505215701222,0.0386344906567308,-1.69796952523798,0.093955121847001,0.867053801172177,1.01151972097915
"cycleyr2013-2014...24","cycleyr2013-2014",0.713862472074557,0.0442482399837657,-7.617590020782,9.23566552350863e-11,0.653563694930096,0.779724505797257
"cycleyr2015-2016...25","cycleyr2015-2016",0.612051049409049,0.0377425884459736,-13.0075759532034,2.35797242046684e-20,0.567670119234407,0.659901718251322
"(Intercept)...26","(Intercept)",4.5143822519407e-05,0.585428671267831,-17.0911634496292,1.10193542116462e-26,1.4044807871316e-05,0.000145104492018427
"FOODSECMarginally Food Secure...27","FOODSECMarginally Food Secure",0.793423006733832,0.083282658687548,-2.77847486284733,0.00700579400639065,0.671997405769922,0.936789431342074
"FOODSECLow Food Security...28","FOODSECLow Food Security",0.815327487889064,0.0727786617750985,-2.80529231839594,0.00650327357711541,0.705168932145156,0.942694554743449
"FOODSECVery Low Food Secure...29","FOODSECVery Low Food Secure",0.786165974324917,0.109249318955927,-2.20218622761903,0.0309483782347695,0.632245037924927,0.97755917739545
"log_URXUCR_final...30","log_URXUCR_final",2.35790191645138,0.0398056169276824,21.5490242679021,1.29316999230013e-32,2.17794638048926,2.55272650300792
"SEXFemale...31","SEXFemale",2.8043371854121,0.0597986541017268,17.2439869927846,6.6489924713931e-27,2.48905360158118,3.15955712825518
"AGEGROUP32-46...32","AGEGROUP32-46",0.887267655429807,0.0782013739633492,-1.52949472041464,0.130648538731639,0.759134499547975,1.03702821152334
