Term,FOODSEC,Estimate,X2.5..,X97.5..,%Difference,%Lower,%Upper,Pr...t..,Model
(Intercept),1,,,,,,,,BPA
FOODSECMarginally Food Secure,2,1.02,0.93,1.11,1.55,-6.96,10.85,0.73,BPA
FOODSECLow Food Security,3,1.06,0.98,1.14,5.79,-1.73,13.88,0.13,BPA
FOODSECVery Low Food Secure,4,1.06,0.95,1.18,6.13,-4.52,17.96,0.27,BPA
(Intercept),1,,,,,,,,BP3
FOODSECMarginally Food Secure,2,0.55,0.47,0.64,-45.26,-53.32,-35.81,0.08,BP3
FOODSECLow Food Security,3,0.51,0.43,0.61,-48.64,-56.80,-38.94,0.09,BP3
FOODSECVery Low Food Secure,4,0.48,0.39,0.61,-51.67,-61.45,-39.41,0.11,BP3
(Intercept),1,,,,,,,,TRS
FOODSECMarginally Food Secure,2,0.68,0.56,0.83,-31.84,-43.81,-17.32,0.10,TRS
FOODSECLow Food Security,3,0.65,0.56,0.75,-34.83,-43.71,-24.54,0.07,TRS
FOODSECVery Low Food Secure,4,0.53,0.45,0.62,-47.27,-55.39,-37.68,0.08,TRS
(Intercept),1,,,,,,,,BUP
FOODSECMarginally Food Secure,2,0.75,0.68,0.83,-24.66,-31.98,-16.56,0.00,BUP
FOODSECLow Food Security,3,0.74,0.65,0.84,-26.40,-35.32,-16.26,0.00,BUP
FOODSECVery Low Food Secure,4,0.60,0.52,0.69,-39.95,-47.85,-30.85,0.00,BUP
(Intercept),1,,,,,,,,EPB
FOODSECMarginally Food Secure,2,0.82,0.71,0.94,-18.30,-29.02,-5.95,0.01,EPB
FOODSECLow Food Security,3,0.87,0.76,0.99,-13.17,-23.50,-1.43,0.03,EPB
FOODSECVery Low Food Secure,4,0.67,0.58,0.77,-33.05,-41.76,-23.04,0.00,EPB
(Intercept),1,,,,,,,,MPB
FOODSECMarginally Food Secure,2,0.91,0.78,1.06,-8.93,-21.62,5.82,0.22,MPB
FOODSECLow Food Security,3,0.97,0.80,1.17,-3.03,-19.64,17.02,0.75,MPB
FOODSECVery Low Food Secure,4,0.84,0.71,1.00,-15.92,-29.39,0.12,0.05,MPB
(Intercept),1,,,,,,,,PPB
FOODSECMarginally Food Secure,2,0.87,0.72,1.06,-12.81,-28.41,6.20,0.17,PPB
FOODSECLow Food Security,3,0.90,0.71,1.13,-9.97,-28.54,13.42,0.37,PPB
FOODSECVery Low Food Secure,4,0.73,0.58,0.92,-26.63,-41.51,-7.96,0.01,PPB
