SEX,FOODSEC,contrast,exp.estimate,exp.lower.CL,exp.upper.CL,%Difference,%Lower,%Higher,p.value,model
Male,1,Ref,,,,,,,,
Male,2,Marginally Food Secure - Fully Food Secure,1.01,0.86,1.19,1.08,-14.46,19.43,1,BPA
Male,3,Low Food Security - Fully Food Secure,1.04,0.88,1.23,3.76,-12.46,22.99,0.94,BPA
Male,4,Very Low Food Secure - Fully Food Secure,0.95,0.79,1.14,-5.35,-21.46,14.06,0.86,BPA
Female,1,Ref,,,,,,,,
Female,2,Marginally Food Secure - Fully Food Secure,1.02,0.89,1.18,2.5,-11.32,18.47,0.97,BPA
Female,3,Low Food Security - Fully Food Secure,1.11,0.96,1.28,11.08,-3.9,28.41,0.23,BPA
Female,4,Very Low Food Secure - Fully Food Secure,1.21,0.99,1.49,21.45,-1.04,49.05,0.07,BPA
Male,1,,,,,,,,,
Male,2,Marginally Food Secure - Fully Food Secure,0.84,0.65,1.09,-16.08,-35.4,9.02,0.3,BP3
Male,3,Low Food Security - Fully Food Secure,0.74,0.58,0.94,-26.04,-41.81,-5.99,0.01,BP3
Male,4,Very Low Food Secure - Fully Food Secure,0.78,0.57,1.09,-21.55,-43.36,8.66,0.21,BP3
Female,1,,,,,,,,,
Female,2,Marginally Food Secure - Fully Food Secure,0.77,0.56,1.07,-23.03,-44.39,6.54,0.16,BP3
Female,3,Low Food Security - Fully Food Secure,0.91,0.69,1.21,-8.78,-31,20.6,0.82,BP3
Female,4,Very Low Food Secure - Fully Food Secure,0.82,0.56,1.21,-17.51,-43.95,21.41,0.56,BP3
Male,1,,,,,,,,,
Male,2,Marginally Food Secure - Fully Food Secure,0.84,0.62,1.13,-16.23,-37.84,12.91,0.41,TRS
Male,3,Low Food Security - Fully Food Secure,0.82,0.62,1.08,-17.87,-37.81,8.47,0.25,TRS
Male,4,Very Low Food Secure - Fully Food Secure,0.82,0.6,1.13,-17.63,-40.19,13.44,0.39,TRS
Female,1,,,,,,,,,
Female,2,Marginally Food Secure - Fully Food Secure,0.87,0.65,1.15,-13.31,-34.9,15.43,0.56,TRS
Female,3,Low Food Security - Fully Food Secure,0.92,0.71,1.2,-7.74,-29.12,20.09,0.85,TRS
Female,4,Very Low Food Secure - Fully Food Secure,0.7,0.51,0.94,-30.31,-48.6,-5.52,0.01,TRS
Male,1,,,,,,,,,
Male,2,Marginally Food Secure - Fully Food Secure,0.99,0.85,1.15,-0.83,-14.6,15.17,1,BUP
Male,3,Low Food Security - Fully Food Secure,1.02,0.88,1.19,2.28,-12.01,18.89,0.98,BUP
Male,4,Very Low Food Secure - Fully Food Secure,1.06,0.88,1.27,5.93,-11.74,27.14,0.84,BUP
Female,1,,,,,,,,,
Female,2,Marginally Food Secure - Fully Food Secure,0.75,0.63,0.9,-24.64,-37.05,-9.77,0,BUP
Female,3,Low Food Security - Fully Food Secure,0.75,0.59,0.96,-24.73,-41.24,-3.58,0.02,BUP
Female,4,Very Low Food Secure - Fully Food Secure,0.53,0.41,0.7,-46.55,-59.43,-29.59,0,BUP
Male,1,,,,,,,,,
Male,2,Marginally Food Secure - Fully Food Secure,1,0.82,1.22,0.12,-17.97,22.2,1,EPB
Male,3,Low Food Security - Fully Food Secure,1.14,0.91,1.43,13.78,-9.33,42.78,0.44,EPB
Male,4,Very Low Food Secure - Fully Food Secure,0.91,0.74,1.11,-9.31,-25.94,11.07,0.59,EPB
Female,1,,,,,,,,,
Female,2,Marginally Food Secure - Fully Food Secure,0.8,0.62,1.04,-20.04,-38.24,3.51,0.11,EPB
Female,3,Low Food Security - Fully Food Secure,0.8,0.62,1.03,-20.29,-38.25,2.89,0.1,EPB
Female,4,Very Low Food Secure - Fully Food Secure,0.61,0.46,0.81,-38.94,-53.86,-19.21,0,EPB
Male,1,,,,,,,,,
Male,2,Marginally Food Secure - Fully Food Secure,0.96,0.75,1.23,-3.93,-25.21,23.42,0.97,MPB
Male,3,Low Food Security - Fully Food Secure,1.09,0.8,1.47,8.59,-19.99,47.37,0.89,MPB
Male,4,Very Low Food Secure - Fully Food Secure,1.06,0.74,1.53,6.41,-26.1,53.22,0.97,MPB
Female,1,,,,,,,,,
Female,2,Marginally Food Secure - Fully Food Secure,0.85,0.67,1.08,-14.99,-33.01,7.87,0.28,MPB
Female,3,Low Food Security - Fully Food Secure,0.82,0.63,1.07,-17.85,-37.03,7.18,0.22,MPB
Female,4,Very Low Food Secure - Fully Food Secure,0.74,0.53,1.03,-26.1,-46.97,2.98,0.09,MPB
Male,1,,,,,,,,,
Male,2,Marginally Food Secure - Fully Food Secure,0.95,0.72,1.27,-4.53,-28.3,27.13,0.97,PPB
Male,3,Low Food Security - Fully Food Secure,0.94,0.65,1.36,-5.65,-34.7,36.34,0.98,PPB
Male,4,Very Low Food Secure - Fully Food Secure,1.04,0.69,1.55,3.64,-30.68,54.94,1,PPB
Female,1,,,,,,,,,
Female,2,Marginally Food Secure - Fully Food Secure,0.74,0.55,1,-25.71,-44.96,0.27,0.05,PPB
Female,3,Low Food Security - Fully Food Secure,0.77,0.54,1.1,-22.96,-46.2,10.31,0.23,PPB
Female,4,Very Low Food Secure - Fully Food Secure,0.55,0.36,0.84,-44.82,-63.63,-16.28,0,PPB
