"SEX","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","exp.estimate","exp.lower.CL","exp.upper.CL","model"
"Male","Marginally Food Secure - Fully Food Secure",0.0106957954873214,0.0633201262466389,67,-0.156133773623669,0.177525364598312,0.168916205973123,0.998269049439173,1.01075319998759,0.855444746772797,1.1942583494016,"BPA"
"Male","Low Food Security - Fully Food Secure",0.0369199694115189,0.0645390190515538,67,-0.133121017197983,0.206960956021021,0.572056562899216,0.94007080317667,1.03760997697811,0.875359152186797,1.22993454930458,"BPA"
"Male","Low Food Security - Marginally Food Secure",0.0262241739241975,0.0752165701090872,67,-0.171948961935141,0.224397309783536,0.348648893271315,0.985320095224789,1.0265710531422,0.842022147252798,1.25156818094131,"BPA"
"Male","Very Low Food Secure - Fully Food Secure",-0.0549959765130255,0.0707906728111301,67,-0.241508198490549,0.131516245464498,-0.776881675637623,0.8646426405198,0.946488956131809,0.785442364320787,1.14055643644096,"BPA"
"Male","Very Low Food Secure - Marginally Food Secure",-0.0656917720003468,0.0961147567854082,67,-0.318925371018454,0.187541827017761,-0.683472280401379,0.903039355530202,0.936419450508224,0.726929797312505,1.20628070349021,"BPA"
"Male","Very Low Food Secure - Low Food Security",-0.0919159459245444,0.0860558296387597,67,-0.318647284428234,0.134815392579146,-1.06809667991563,0.709992048212472,0.912181818922295,0.727131974851297,1.14432551386913,"BPA"
"Female","Marginally Food Secure - Fully Food Secure",0.024675465440304,0.0549486397769488,67,-0.120097743973662,0.16944867485427,0.449064172297408,0.969586374012043,1.02498242432187,0.88683374982598,1.18465154305966,"BPA"
"Female","Low Food Security - Fully Food Secure",0.105118052805637,0.0550071955859503,67,-0.039809433628349,0.250045539239624,1.91098731149432,0.233270555782306,1.1108417405995,0.960972550756566,1.28408389156032,"BPA"
"Female","Low Food Security - Marginally Food Secure",0.0804425873653335,0.0668885945332415,67,-0.0957888269713168,0.256674001701984,1.202635336064,0.627344102555291,1.08376662295887,0.908655879423899,1.29262366495042,"BPA"
"Female","Very Low Food Secure - Fully Food Secure",0.194322980286717,0.0777206076634893,67,-0.0104475446020027,0.399093505175437,2.50027613175758,0.0689971212288608,1.21448847545362,0.989606841427165,1.49047297902923,"BPA"
"Female","Very Low Food Secure - Marginally Food Secure",0.169647514846413,0.0912551241490476,67,-0.0707824075712424,0.410077437264069,1.85904645277044,0.255509655915463,1.18488712258371,0.931664593235309,1.50693447347754,"BPA"
"Female","Very Low Food Secure - Low Food Security",0.0892049274810798,0.0827219217958655,67,-0.12874256231834,0.307152417280499,1.07837107195373,0.703832079337423,1.09330468154553,0.879200275694643,1.35954817091585,"BPA"
"Male","Marginally Food Secure - Fully Food Secure",-0.175276461819264,0.0993088226426543,67,-0.436925467790303,0.0863725441517751,-1.76496364728808,0.299174822889174,0.839224975031423,0.646019578883055,1.09021240491534,"BP3"
