"SEX","contrast","estimate","SE","df","lower.CL","upper.CL","t.ratio","p.value","exp.estimate","exp.lower.CL","exp.upper.CL","model"
"Male","Marginally Food Secure - Fully Food Secure",0.00998011449871028,0.064452324659489,69,-0.159707563633157,0.179667792630578,0.154844911357917,0.998664630204917,1.01003008192997,0.852393023240691,1.19681970474716,"BPA"
"Male","Low Food Security - Fully Food Secure",0.036005986121453,0.0643445041741887,69,-0.133397826255341,0.205409798498248,0.559581375030574,0.943615215319706,1.0366620520573,0.87511687837837,1.22802820597754,"BPA"
"Male","Low Food Security - Marginally Food Secure",0.0260258716227428,0.0750959178689664,69,-0.171683862008878,0.223735605254364,0.346568393613017,0.985577024038397,1.02636750192276,0.842245396852365,1.25074028654835,"BPA"
"Male","Very Low Food Secure - Fully Food Secure",-0.0548040511912791,0.0695717651085466,69,-0.237970001328453,0.128361898945895,-0.787734091635784,0.859779774017319,0.946670628762476,0.788226336482076,1.13696439446732,"BPA"
"Male","Very Low Food Secure - Marginally Food Secure",-0.0647841656899894,0.0951970126653201,69,-0.315415312504488,0.18584698112451,-0.680527296772937,0.904154613090163,0.937269736514751,0.72948584675385,1.20423797513765,"BPA"
"Male","Very Low Food Secure - Low Food Security",-0.0908100373127321,0.0856006976728725,69,-0.316176363683695,0.134556289058231,-1.06085627549167,0.714286476607176,0.913191166671692,0.72893088189508,1.14402905350804,"BPA"
"Female","Marginally Food Secure - Fully Food Secure",0.0234587171723844,0.0549563223825241,69,-0.12122824009447,0.168145674439238,0.426861117254167,0.973688306575642,1.02373603715591,0.885831754194802,1.1831089468274,"BPA"
"Female","Low Food Security - Fully Food Secure",0.105023067826629,0.0547639561022511,69,-0.0391574346672923,0.249203570320551,1.91774070577623,0.230193983463266,1.11073623233102,0.961599308161649,1.28300318785745,"BPA"
"Female","Low Food Security - Marginally Food Secure",0.0815643506542448,0.0662992917006567,69,-0.092985953464468,0.256114654772958,1.23024467625552,0.609961014384011,1.08498303470571,0.911206299497911,1.29190084204628,"BPA"
"Female","Very Low Food Secure - Fully Food Secure",0.195073864979635,0.0770242028345551,69,-0.00771258543940959,0.39786031539868,2.53263075501925,0.0636814668464935,1.21540075872647,0.992317080232336,1.48863607584686,"BPA"
"Female","Very Low Food Secure - Marginally Food Secure",0.171615147807251,0.0902102446649631,69,-0.0658870220799853,0.409117317694487,1.90239089190615,0.236577178368156,1.18722084073843,0.936236632384145,1.50548833054563,"BPA"
"Female","Very Low Food Secure - Low Food Security",0.0900507971530062,0.0826534866434438,69,-0.127556221866508,0.30765781617252,1.08949786403414,0.697092566908117,1.09422986605542,0.880243925486542,1.3602354587177,"BPA"
"Male","Marginally Food Secure - Fully Food Secure",-0.195915625299767,0.0978604778470577,69,-0.453559043973534,0.0617277933739998,-2.00198925664307,0.197255432978434,0.822081594640147,0.635362838556981,1.06367276654232,"BP3"
"Male","Low Food Security - Fully Food Secure",-0.325245011413921,0.0912063465402927,69,-0.565369681192363,-0.0851203416354784,-3.56603486217086,0.003629571576104,0.722350347878662,0.568150073533248,0.918401755781676,"BP3"
"Male","Low Food Security - Marginally Food Secure",-0.129329386114154,0.119117797302014,69,-0.442938283157797,0.18427951092949,-1.0857268102956,0.699370368339119,0.878684491403629,0.64214683713988,1.20235184661521,"BP3"
"Male","Very Low Food Secure - Fully Food Secure",-0.266757236031548,0.121821963784289,69,-0.587485561801518,0.0539710897384224,-2.18973022388554,0.136301229572736,0.765858971862786,0.555722860242606,1.05545408826023,"BP3"
"Male","Very Low Food Secure - Marginally Food Secure",-0.0708416107317806,0.137873356867198,69,-0.43382944595173,0.292146224488168,-0.513816536722293,0.955525381256045,0.931609437379544,0.648022768967441,1.33929884160943,"BP3"
"Male","Very Low Food Secure - Low Food Security",0.058487775382373,0.117616699577325,69,-0.251169087519798,0.368144638284544,0.497274414199332,0.959425931254732,1.06023202468428,0.777890828807235,1.44505103356178,"BP3"
"Female","Marginally Food Secure - Fully Food Secure",-0.281133648579968,0.121200266161165,69,-0.600225192019349,0.0379578948594134,-2.31957946532999,0.103477620102125,0.754927433758172,0.548688062007923,1.03868749787465,"BP3"
"Female","Low Food Security - Fully Food Secure",-0.116449413174442,0.104407201201838,69,-0.391328801090798,0.158429974741914,-1.11533890224032,0.68138093780037,0.890075121912759,0.676157798063965,1.17166987486709,"BP3"
"Female","Low Food Security - Marginally Food Secure",0.164684235405526,0.150695349431224,69,-0.232060863942728,0.56142933475378,1.09282891626782,0.695077208246555,1.17902076691239,0.792897862947921,1.75317658650566,"BP3"
"Female","Very Low Food Secure - Fully Food Secure",-0.213349585339114,0.146055315516193,69,-0.597878576336668,0.17117940565844,-1.4607450922624,0.466565303192999,0.807873667055792,0.549977133905763,1.18670363127134,"BP3"
"Female","Very Low Food Secure - Marginally Food Secure",0.0677840632408537,0.184156108964079,69,-0.417055276674454,0.552623403156161,0.36807936278712,0.982823593492528,1.07013420221603,0.658984492466075,1.73780600885913,"BP3"
"Female","Very Low Food Secure - Low Food Security",-0.0969001721646721,0.161033226958602,69,-0.520862450159315,0.32706210582997,-0.60174023706041,0.931174473461078,0.907646610007123,0.59400802467355,1.38688760831164,"BP3"
"Male","Marginally Food Secure - Fully Food Secure",-0.183725686802805,0.113062533142713,69,-0.481392510056319,0.11394113645071,-1.62499177840724,0.371553577833568,0.832164046100384,0.617922329368559,1.12068615537783,"TRS"
"Male","Low Food Security - Fully Food Secure",-0.204227647327766,0.105370948737846,69,-0.481644353836655,0.073189059181123,-1.93817793019846,0.22187810666872,0.815276754485973,0.617766729067483,1.07593393287545,"TRS"
"Male","Low Food Security - Marginally Food Secure",-0.0205019605249614,0.128255975768134,69,-0.358169513241037,0.317165592191114,-0.159851893076902,0.998531760316259,0.979706775733046,0.698954582907133,1.37322994925518,"TRS"
"Male","Very Low Food Secure - Fully Food Secure",-0.204356249829955,0.121059159635432,69,-0.523076293267631,0.114363793607721,-1.68806929145528,0.337751029187557,0.81517191459685,0.592694438674998,1.12115992151543,"TRS"
"Male","Very Low Food Secure - Marginally Food Secure",-0.0206305630271503,0.160148099683774,69,-0.442262510922603,0.401001384868303,-0.128821778515556,0.999228864631156,0.979580791091419,0.642580928800363,1.49331933654914,"TRS"
"Male","Very Low Food Secure - Low Food Security",-0.000128602502188824,0.150168463557805,69,-0.395486536360704,0.395229331356326,-0.000856388213223748,0.999999999771973,0.999871405766758,0.673352349137334,1.48472464579772,"TRS"
"Female","Marginally Food Secure - Fully Food Secure",-0.147748011653222,0.107904284025211,69,-0.431834388885604,0.136338365579161,-1.36925065568946,0.52272798514765,0.86264846491659,0.649316901876934,1.146069618505,"TRS"
"Female","Low Food Security - Fully Food Secure",-0.0904208475452123,0.0994126793850705,69,-0.352150844575456,0.171309149485032,-0.909550452764393,0.799812755358131,0.913546640498451,0.70317404398576,1.18685760873009,"TRS"
"Female","Low Food Security - Marginally Food Secure",0.0573271641080094,0.124989497345992,69,-0.27174052596464,0.386394854180659,0.458655849693662,0.967710896297889,1.05900222124291,0.762051968138132,1.47166564944049,"TRS"
"Female","Very Low Food Secure - Fully Food Secure",-0.371666017756812,0.114311042348824,69,-0.672619869514427,-0.0707121659991964,-3.25135708781886,0.0094114895491415,0.689584513051485,0.510369722661985,0.931730037119371,"TRS"
"Female","Very Low Food Secure - Marginally Food Secure",-0.22391800610359,0.122155111657186,69,-0.545523431176419,0.0976874189692394,-1.83306292357203,0.266869914097444,0.799380676018662,0.579538355491781,1.10261807374217,"TRS"
"Female","Very Low Food Secure - Low Food Security",-0.281245170211599,0.138081454814586,69,-0.644780877951319,0.08229053752812,-2.03680625026186,0.18467222101871,0.754843247713365,0.524777519834303,1.08577122129464,"TRS"
"Male","Marginally Food Secure - Fully Food Secure",-0.0187135375590684,0.056244213218355,69,-0.166791205816938,0.129364130698801,-0.33271934103545,0.9871913606585,0.981460473539898,0.846376311340069,1.13810446749865,"BUP"
"Male","Low Food Security - Fully Food Secure",0.0106444535475716,0.0556291783003277,69,-0.13581397370136,0.157102880796503,0.191346589556022,0.997492553011743,1.01070130728984,0.873005019276575,1.17011599017367,"BUP"
"Male","Low Food Security - Marginally Food Secure",0.02935799110664,0.0658772499891418,69,-0.144081177324103,0.202797159537383,0.445646882823416,0.970247225626167,1.02979318529709,0.865817460461762,1.22482399918194,"BUP"
"Male","Very Low Food Secure - Fully Food Secure",0.0449148441038395,0.067914635294064,69,-0.133888276421397,0.223717964629076,0.6613426385839,0.911182219546061,1.04593878826144,0.874687782393751,1.25071822290223,"BUP"
"Male","Very Low Food Secure - Marginally Food Secure",0.0636283816629079,0.081202204233458,69,-0.150157755118996,0.277414518444812,0.783579488556432,0.861654536115374,1.06569629288175,0.860572206045334,1.31971330317643,"BUP"
"Male","Very Low Food Secure - Low Food Security",0.034270390556268,0.0792165219252064,69,-0.174287915853731,0.242828696966267,0.432616703225433,0.972661592340722,1.03486438645863,0.840054997684844,1.27485021970213,"BUP"
"Female","Marginally Food Secure - Fully Food Secure",-0.292343476961793,0.0684711415589194,69,-0.472611746439345,-0.112075207484241,-4.26958672377664,0.000350920008126865,0.746512082230956,0.623372050618194,0.893977021209319,"BUP"
"Female","Low Food Security - Fully Food Secure",-0.29694678363857,0.0940645636525248,69,-0.544596460900199,-0.0492971063769408,-3.15684006929,0.0123710999997531,0.743083555512822,0.580075819389295,0.951898272634268,"BUP"
"Female","Low Food Security - Marginally Food Secure",-0.00460330667677661,0.113272122808327,69,-0.30282192979021,0.293615316436657,-0.040639360882872,0.999975647664242,0.99540727230042,0.738730630577338,1.3412678407205,"BUP"
"Female","Very Low Food Secure - Fully Food Secure",-0.637745538895007,0.105413181311266,69,-0.915273433749126,-0.360217644040887,-6.04996008053169,3.9601777312992e-07,0.528482525318463,0.400407126299311,0.697524497499085,"BUP"
"Female","Very Low Food Secure - Marginally Food Secure",-0.345402061933214,0.122770213897705,69,-0.668626905259128,-0.0221772186072994,-2.81340278694155,0.0316470624311108,0.707935662258927,0.512411684749328,0.978066888039762,"BUP"
"Female","Very Low Food Secure - Low Food Security",-0.340798755256437,0.125824260207293,69,-0.672064177877499,-0.00953333263537481,-2.70852977553754,0.0414055731886748,0.711202019473762,0.510653409662556,0.990511965518452,"BUP"
"Male","Marginally Food Secure - Fully Food Secure",-0.0131481184098738,0.075174555452739,69,-0.211064886141114,0.184768649321367,-0.174901179404244,0.998080588790646,0.986937940515113,0.809721525471525,1.20294010692256,"EPB"
"Male","Low Food Security - Fully Food Secure",0.112720671897186,0.0853494739648007,69,-0.111984242058638,0.337425585853009,1.32069556683704,0.553077065914882,1.11931923196003,0.894058345908344,1.40133532533907,"EPB"
