RACEETH,FOODSEC,contrast,exp.estimate,exp.lower.CL,exp.upper.CL,%Difference,%Lower,%Higher,p.value,model
NH White,1,,,,,,,,,
NH White,2,Marginally Food Secure - Fully Food Secure,1.07,0.90,1.28,7.19,-9.91,27.53,0.72,BPA
NH White,3,Low Food Security - Fully Food Secure,1.09,0.92,1.31,9.41,-8.42,30.71,0.54,BPA
NH White,4,Very Low Food Secure - Fully Food Secure,1.14,0.88,1.47,13.96,-11.85,47.32,0.54,BPA
NH Black,1,,,,,,,,,
NH Black,2,Marginally Food Secure - Fully Food Secure,0.95,0.82,1.10,-5.26,-18.24,9.77,0.77,BPA
NH Black,3,Low Food Security - Fully Food Secure,1.01,0.86,1.18,1.08,-13.76,18.47,1.00,BPA
NH Black,4,Very Low Food Secure - Fully Food Secure,1.00,0.85,1.17,-0.25,-15.08,17.17,1.00,BPA
Mexican-American,1,,,,,,,,,
Mexican-American,2,Marginally Food Secure - Fully Food Secure,0.96,0.77,1.19,-4.11,-22.52,18.67,0.95,BPA
Mexican-American,3,Low Food Security - Fully Food Secure,1.00,0.86,1.17,0.14,-14.43,17.20,1.00,BPA
Mexican-American,4,Very Low Food Secure - Fully Food Secure,0.88,0.63,1.25,-11.54,-37.31,24.84,0.78,BPA
Other Hispanic,1,,,,,,,,,
Other Hispanic,2,Marginally Food Secure - Fully Food Secure,0.94,0.72,1.24,-5.61,-28.16,24.01,0.94,BPA
Other Hispanic,3,Low Food Security - Fully Food Secure,0.95,0.76,1.19,-5.23,-24.30,18.65,0.92,BPA
Other Hispanic,4,Very Low Food Secure - Fully Food Secure,1.03,0.69,1.53,2.56,-31.39,53.32,1.00,BPA
Other,1,,,,,,,,,
Other,2,Marginally Food Secure - Fully Food Secure,0.93,0.69,1.26,-6.79,-31.10,26.10,0.93,BPA
Other,3,Low Food Security - Fully Food Secure,1.37,0.84,2.24,36.95,-16.26,123.98,0.34,BPA
Other,4,Very Low Food Secure - Fully Food Secure,1.26,0.81,1.97,26.41,-18.81,96.82,0.50,BPA
NH White,1,,,,,,,,,
NH White,2,Marginally Food Secure - Fully Food Secure,0.71,0.51,0.99,-28.70,-48.72,-0.87,0.04,BP3
NH White,3,Low Food Security - Fully Food Secure,0.72,0.51,1.02,-27.92,-48.98,1.84,0.07,BP3
NH White,4,Very Low Food Secure - Fully Food Secure,0.67,0.41,1.08,-33.44,-58.81,7.56,0.12,BP3
NH Black,1,,,,,,,,,
NH Black,2,Marginally Food Secure - Fully Food Secure,0.84,0.58,1.21,-15.93,-41.65,21.12,0.59,BP3
NH Black,3,Low Food Security - Fully Food Secure,0.97,0.68,1.38,-2.98,-31.62,37.65,1.00,BP3
NH Black,4,Very Low Food Secure - Fully Food Secure,1.11,0.72,1.70,11.06,-27.60,70.36,0.92,BP3
Mexican-American,1,,,,,,,,,
Mexican-American,2,Marginally Food Secure - Fully Food Secure,0.97,0.64,1.48,-2.94,-36.16,47.57,1.00,BP3
Mexican-American,3,Low Food Security - Fully Food Secure,1.01,0.73,1.40,1.00,-27.35,40.41,1.00,BP3
Mexican-American,4,Very Low Food Secure - Fully Food Secure,1.04,0.61,1.74,3.52,-38.55,74.39,1.00,BP3
Other Hispanic,1,,,,,,,,,
Other Hispanic,2,Marginally Food Secure - Fully Food Secure,1.46,0.75,2.82,45.85,-24.66,182.35,0.44,BP3
Other Hispanic,3,Low Food Security - Fully Food Secure,1.03,0.62,1.69,2.52,-37.93,69.31,1.00,BP3
Other Hispanic,4,Very Low Food Secure - Fully Food Secure,0.90,0.46,1.77,-9.51,-53.73,76.98,0.98,BP3
Other,1,,,,,,,,,
Other,2,Marginally Food Secure - Fully Food Secure,0.66,0.40,1.09,-33.54,-59.54,9.16,0.14,BP3
Other,3,Low Food Security - Fully Food Secure,0.78,0.46,1.34,-21.54,-54.22,34.48,0.64,BP3
Other,4,Very Low Food Secure - Fully Food Secure,0.95,0.43,2.08,-5.03,-56.58,107.74,1.00,BP3
NH White,1,,,,,,,,,
