Model,Food Security Level,FOODSEC,% Difference,95% LCI ,95% UCI ,Standard Error,P-Value
BPA,1 (Ref),High,,,,,
BPA,2,Marginal,1.71,-6.14,10.22,0.04,0.68
BPA,3,Low,7.49,-1.23,16.98,0.04,0.09
BPA,4,Very Low,7.68,-4.17,20.99,0.06,0.21
BP3,1 (Ref),High,,,,,
BP3,2,Marginal,-21.40,-32.75,-8.13,0.08,0.00
BP3,3,Low,-19.34,-30.58,-6.28,0.08,0.01
BP3,4,Very Low,-21.30,-36.49,-2.47,0.11,0.03
TRS,1 (Ref),High,,,,,
TRS,2,Marginal,-15.20,-29.18,1.53,0.09,0.07
TRS,3,Low,-13.41,-25.65,0.85,0.08,0.06
TRS,4,Very Low,-25.24,-37.28,-10.89,0.09,0.00
BUP,1 (Ref),High,,,,,
BUP,2,Marginal,-14.93,-22.08,-7.13,0.04,0.00
BUP,3,Low,-14.02,-24.13,-2.56,0.06,0.02
BUP,4,Very Low,-26.40,-35.72,-15.71,0.07,0.00
EPB,1 (Ref),High,,,,,
EPB,2,Marginal,-12.19,-23.00,0.15,0.07,0.05
EPB,3,Low,-7.28,-19.20,6.41,0.07,0.28
EPB,4,Very Low,-27.21,-35.99,-17.22,0.06,0.00
MPB,1 (Ref),High,,,,,
MPB,2,Marginal,-16.65,-26.78,-5.10,0.07,0.01
MPB,3,Low,-14.81,-28.35,1.29,0.09,0.07
MPB,4,Very Low,-21.53,-35.05,-5.18,0.09,0.01
PPB,1 (Ref),High,,,,,
PPB,2,Marginal,-16.97,-29.35,-2.42,0.08,0.02
PPB,3,Low,-15.61,-32.38,5.30,0.11,0.13
PPB,4,Very Low,-24.97,-40.85,-4.82,0.12,0.02
