,Term,Estimate,X2.5..,X97.5..,Pr...t..,Std..Error,t.value,Model
(Intercept)...1,(Intercept),1.16E-05,7.63E-06,1.77E-05,4.37E-70,0.211967157,-53.60360225,BPA
FOODSECMarginally Food Secure...2,FOODSECMarginally Food Secure,1.015534494,0.930401541,1.108457223,0.727320524,0.044070676,0.349780627,BPA
FOODSECLow Food Security...3,FOODSECLow Food Security,1.057869713,0.982716264,1.138770539,0.132860808,0.037093154,1.516645934,BPA
FOODSECVery Low Food Secure...4,FOODSECVery Low Food Secure,1.061298382,0.954849322,1.179614656,0.266435654,0.053201857,1.118251312,BPA
log_URXUCR_final...5,log_URXUCR_final,2.349326059,2.279083634,2.421733388,1.12E-71,0.01527933,55.90091263,BPA
(Intercept)...6,(Intercept),0.004919593,0.001528967,0.01582925,2.92E-14,0.588236061,-9.034688175,BP3
FOODSECMarginally Food Secure...7,FOODSECMarginally Food Secure,0.547401159,0.466822931,0.64188798,3.97E-11,0.080149962,-7.518074222,BP3
FOODSECLow Food Security...8,FOODSECLow Food Security,0.513582373,0.431988463,0.610587727,2.12E-11,0.087086005,-7.651572091,BP3
FOODSECVery Low Food Secure...9,FOODSECVery Low Food Secure,0.483302143,0.385524823,0.605877877,7.14E-09,0.113776275,-6.390728331,BP3
log_URXUCR_final...10,log_URXUCR_final,1.854008471,1.705984267,2.014876383,1.00E-25,0.041882959,14.73988576,BP3
(Intercept)...11,(Intercept),0.002222486,0.00082755,0.005968752,6.00E-21,0.497268943,-12.28536197,TRS
FOODSECMarginally Food Secure...12,FOODSECMarginally Food Secure,0.681593951,0.561921029,0.826753744,0.000158232,0.097183899,-3.944286866,TRS
FOODSECLow Food Security...13,FOODSECLow Food Security,0.651731115,0.56285121,0.754646058,9.68E-08,0.073800093,-5.801120121,TRS
FOODSECVery Low Food Secure...14,FOODSECVery Low Food Secure,0.527303277,0.446134635,0.623239544,2.62E-11,0.084138132,-7.606294598,TRS
log_URXUCR_final...15,log_URXUCR_final,1.881858446,1.754142226,2.018873474,2.34E-31,0.035375621,17.87275526,TRS
(Intercept)...16,(Intercept),0.076810289,0.03656521,0.16135065,8.10E-10,0.373609937,-6.869240952,BPB
FOODSECMarginally Food Secure...17,FOODSECMarginally Food Secure,0.75338997,0.680248408,0.834395848,3.40E-07,0.05140497,-5.50865602,BPB
FOODSECLow Food Security...18,FOODSECLow Food Security,0.735971184,0.646791515,0.837446952,8.78E-06,0.065016666,-4.715165054,BPB
FOODSECVery Low Food Secure...19,FOODSECVery Low Food Secure,0.600514278,0.521471596,0.69153795,1.94E-10,0.07103912,-7.178704642,BPB
log_URXUCR_final...20,log_URXUCR_final,1.106614203,1.048174347,1.168312311,0.000358932,0.027309532,3.709513787,BPB
(Intercept)...21,(Intercept),0.079903342,0.033329799,0.191556632,1.25E-07,0.440115275,-5.741535779,EPB
FOODSECMarginally Food Secure...22,FOODSECMarginally Food Secure,0.817016888,0.70977372,0.940463948,0.005368194,0.070828687,-2.853300276,EPB
FOODSECLow Food Security...23,FOODSECLow Food Security,0.868347838,0.764991045,0.985669013,0.029429593,0.063789131,-2.212961792,EPB
FOODSECVery Low Food Secure...24,FOODSECVery Low Food Secure,0.669486353,0.582402584,0.769591325,1.37E-07,0.070141759,-5.720479546,EPB
log_URXUCR_final...25,log_URXUCR_final,1.288906853,1.209047962,1.374040508,7.10E-12,0.032195116,7.883011169,EPB
(Intercept)...26,(Intercept),0.02362257,0.009632205,0.057933343,1.00E-12,0.451553817,-8.294808973,MPB
FOODSECMarginally Food Secure...27,FOODSECMarginally Food Secure,0.910732719,0.78379045,1.058234488,0.219102509,0.075557298,-1.23754846,MPB
FOODSECLow Food Security...28,FOODSECLow Food Security,0.969734173,0.80359128,1.170227191,0.746017992,0.094595869,-0.324890438,MPB
FOODSECVery Low Food Secure...29,FOODSECVery Low Food Secure,0.840789811,0.706089905,1.001186253,0.051542635,0.087885119,-1.973184769,MPB
log_URXUCR_final...30,log_URXUCR_final,1.74831848,1.637029325,1.867173336,1.27E-29,0.0331062,16.87461727,MPB
(Intercept)...31,(Intercept),0.013440953,0.004758986,0.037961707,1.27E-12,0.522617906,-8.245888582,PPB
FOODSECMarginally Food Secure...32,FOODSECMarginally Food Secure,0.871934798,0.715900721,1.061977269,0.170762242,0.099247836,-1.380792125,PPB
FOODSECLow Food Security...33,FOODSECLow Food Security,0.900306101,0.714642298,1.13420529,0.368728009,0.116250889,-0.903394907,PPB
FOODSECVery Low Food Secure...34,FOODSECVery Low Food Secure,0.733691148,0.584853401,0.920406207,0.007979494,0.114123847,-2.713430421,PPB
log_URXUCR_final...35,log_URXUCR_final,1.5738535,1.458900998,1.697863558,3.94E-20,0.038176187,11.8798419,PPB
