"","Term","Estimate","Std..Error","t.value","Pr...t..","X2.5..","X97.5.."
"(Intercept)...1","(Intercept)",0.98769851512454,0.0490853818654721,-0.252168241656585,0.801486004482554,0.89592869297366,1.08886830439741
"FOODSECMarginally Food Secure...2","FOODSECMarginally Food Secure",1.00823151226945,0.0768703061129056,0.106644796449549,0.915308135970256,0.865438934572038,1.17458406564042
"FOODSECLow Food Security...3","FOODSECLow Food Security",1.12353067915087,0.0704731854835627,1.65277216059636,0.101861744089506,0.976743534600827,1.29237731530939
"FOODSECVery Low Food Secure...4","FOODSECVery Low Food Secure",0.997552434770857,0.10548820845978,-0.0232307046363778,0.981517675075575,0.808947463966713,1.23013039096221
"URXUCR_final...5","URXUCR_final",1.00000055170899,2.85247710734046e-08,19.3413941322709,8.18710546560676e-34,1.00000049503953,1.00000060837846
"(Intercept)...6","(Intercept)",55.2959547836479,0.143939259471888,27.877729607538,4.71121507533153e-46,41.5434261452246,73.601118134709
"FOODSECMarginally Food Secure...7","FOODSECMarginally Food Secure",0.510020933269778,0.182894285600857,-3.68138078380696,0.000395115444871429,0.35463899254821,0.733482098243934
"FOODSECLow Food Security...8","FOODSECLow Food Security",0.479878797553605,0.20385380037819,-3.60170725637444,0.000517328077898469,0.320070860929273,0.719477117263669
"FOODSECVery Low Food Secure...9","FOODSECVery Low Food Secure",0.62105898463263,0.231372510826281,-2.05871136788398,0.0424124646143162,0.39219696841894,0.983470790067144
"URXUCR_final...10","URXUCR_final",1.00000019856767,6.97780766310045e-08,2.84570259694485,0.00548692295625038,1.00000005994133,1.00000033719404
"(Intercept)...11","(Intercept)",23.9357868937764,0.0969816401269775,32.7420189473716,8.84483612442091e-52,19.7411194718112,29.02175304913
"FOODSECMarginally Food Secure...12","FOODSECMarginally Food Secure",1.03360956918493,0.131171338404132,0.252014750462138,0.80160427296871,0.796492435890638,1.34131687053128
"FOODSECLow Food Security...13","FOODSECLow Food Security",0.7459255544938,0.14665918446887,-1.99871203241276,0.0486568401408759,0.557388082540738,0.99823614870025
"FOODSECVery Low Food Secure...14","FOODSECVery Low Food Secure",0.415831645952856,0.183187024166468,-4.79004886865906,6.52800029410545e-06,0.288977110924251,0.598372505084626
"URXUCR_final...15","URXUCR_final",1.00000022530271,6.14114455017553e-08,3.66874095472508,0.000412477141469434,1.00000010329814,1.0000003473073
"(Intercept)...16","(Intercept)",2.21378903735956,0.0915962369760463,8.67618114277816,1.62319875117175e-13,1.84546934371018,2.65561815948702
"FOODSECMarginally Food Secure...17","FOODSECMarginally Food Secure",0.909287517576746,0.132010588827323,-0.720350804412621,0.473175810287214,0.699523416222489,1.18195298462734
"FOODSECLow Food Security...18","FOODSECLow Food Security",0.835255165650449,0.1417105332402,-1.27032203670567,0.207244162447831,0.630305458873487,1.10684618374182
"FOODSECVery Low Food Secure...19","FOODSECVery Low Food Secure",0.674166425089717,0.22998134902377,-1.71439240062496,0.0898985235932914,0.426912430323961,1.0646220077812
"URXUCR_final...20","URXUCR_final",0.999999935039998,5.78801010933619e-08,-1.1223201557681,0.264711596223714,0.999999820051089,1.00000005002892
"(Intercept)...21","(Intercept)",10.9802419034768,0.107746224044077,22.2383428132065,2.47289609240099e-38,8.86437811927373,13.6011472701874
"FOODSECMarginally Food Secure...22","FOODSECMarginally Food Secure",0.916268573012744,0.146443330354581,-0.597130337671219,0.551919678652972,0.684969483480592,1.22567226444125
"FOODSECLow Food Security...23","FOODSECLow Food Security",0.787164703741923,0.129809237128357,-1.84361126580622,0.0685306783787075,0.608227384950585,1.01874444681153
"FOODSECVery Low Food Secure...24","FOODSECVery Low Food Secure",0.660618880854141,0.202694206781338,-2.04533810632995,0.0437411815474674,0.441637616558547,0.988179650867948
"URXUCR_final...25","URXUCR_final",1.00000008779569,6.67139103847939e-08,1.31600267880564,0.191515271816194,0.999999955256858,1.00000022033454
"(Intercept)...26","(Intercept)",124.495999757207,0.079767846973236,60.4789243784281,1.12271441143573e-74,106.250640303886,145.87445225005
"FOODSECMarginally Food Secure...27","FOODSECMarginally Food Secure",1.23197076645988,0.120466503593032,1.73172732738834,0.0867483979237087,0.969754240990925,1.56508928268348
"FOODSECLow Food Security...28","FOODSECLow Food Security",1.11214934434644,0.154248838531248,0.689110467816637,0.492526527067792,0.818609793593436,1.51094718608328
"FOODSECVery Low Food Secure...29","FOODSECVery Low Food Secure",1.02749079124793,0.149289785921488,0.181658141523719,0.856259525703119,0.763783801785769,1.38224628963186
"URXUCR_final...30","URXUCR_final",1.00000027477674,5.20534192154159e-08,5.27874451512265,8.93770584432537e-07,1.00000017136351,1.00000037818998
"(Intercept)...31","(Intercept)",27.7182031538378,0.0992290650332298,33.4789947866393,1.38664274717647e-52,22.7588366403409,33.7582627011604
"FOODSECMarginally Food Secure...32","FOODSECMarginally Food Secure",1.17531975494095,0.153652586498975,1.05133435186706,0.295919752927526,0.866132448502096,1.59487908430566
"FOODSECLow Food Security...33","FOODSECLow Food Security",1.13980926568304,0.226086870471201,0.578808213547746,0.564164357106992,0.727384473435017,1.78607766536684
"FOODSECVery Low Food Secure...34","FOODSECVery Low Food Secure",1.08319508378924,0.212306649900891,0.376413478351136,0.707495455532758,0.710441172915438,1.65152532577785
"URXUCR_final...35","URXUCR_final",1.00000018900042,6.61442151141124e-08,2.85739888002825,0.00530512912100873,1.00000005759338,1.00000032040749
