SEQN,FSDHH
31127,3
31128,1
31129,1
31130,1
31131,1
31132,1
31133,1
31134,1
31135,1
31136,1
31137,4
31138,2
31139,1
31140,1
31141,1
31142,3
31143,1
31144,3
31145,1
31146,2
31147,1
31148,1
31149,1
31150,1
31151,1
31152,3
31153,1
31154,1
31155,1
31156,1
31157,3
31158,1
31159,4
31160,1
31161,1
31162,1
31163,2
31164,1
31165,3
31166,1
31167,1
31168,1
31169,3
31170,4
31171,4
31172,1
31173,3
31174,3
31175,1
31176,1
31177,2
31178,2
31179,3
31180,1
31181,1
31182,2
31183,1
31184,1
31185,1
31186,1
31187,1
31188,1
31189,1
31190,1
31191,1
31192,1
31193,1
31194,1
31195,1
31196,1
31197,2
31198,1
31199,2
31200,1
31201,3
31202,1
31203,3
31204,1
31205,1
31206,1
31207,1
31208,1
31209,1
31210,2
31211,1
31212,3
31213,1
31214,1
31215,1
31216,2
31217,3
31218,1
31219,1
31220,1
31221,1
31222,2
31223,1
31224,1
31225,1
31226,NA
31227,1
31228,1
31229,1
31230,3
31231,1
31232,3
31233,1
31234,3
31235,4
31236,1
31237,2
31238,3
31239,1
31240,1
31241,1
31242,1
31243,1
31244,1
31245,1
31246,1
31247,4
31248,4
31249,1
31250,1
31251,1
31252,1
31253,1
31254,3
31255,2
31256,2
31257,1
31258,3
31259,1
31260,1
31261,1
31262,1
31263,1
31264,1
31265,3
31266,1
31267,1
31268,1
31269,1
31270,1
31271,1
31272,3
31273,1
31274,2
31275,1
31276,1
31277,1
31278,1
31279,1
31280,1
31281,3
31282,1
31283,3
31284,1
31285,1
31286,2
31287,2
31288,1
31289,1
31290,2
31291,1
31292,2
31293,3
31294,1
31295,1
31296,1
31297,1
31298,1
31299,1
31300,1
31301,1
31302,1
31303,2
31304,3
31305,1
31306,2
31307,1
31308,1
31309,3
31310,1
31311,1
31312,1
31313,1
31314,1
31315,2
31316,1
31317,4
31318,1
31319,1
31320,2
31321,1
31322,2
31323,2
31324,1
31325,1
31326,4
31327,1
31328,NA
31329,1
31330,3
31331,1
31332,1
31333,1
31334,2
31335,1
31336,4
31337,1
31338,1
31339,1
31340,1
31341,1
31342,1
31343,1
31344,1
31345,1
31346,2
31347,1
31348,2
31349,3
31350,3
31351,1
31352,4
31353,1
31354,1
31355,3
31356,1
31357,1
31358,2
31359,2
31360,1
31361,2
31362,1
31363,2
31364,1
31365,1
31366,2
31367,1
31368,1
31369,1
31370,3
31371,1
31372,2
31373,3
31374,3
31375,2
31376,2
31377,1
31378,1
31379,1
31380,1
31381,1
31382,1
31383,2
31384,1
31385,1
31386,2
31387,4
31388,1
31389,3
31390,1
31391,1
31392,1
31393,1
31394,1
31395,1
31396,2
31397,3
31398,4
31399,1
31400,1
31401,1
31402,1
31403,1
31404,1
31405,3
31406,4
31407,1
31408,1
31409,1
31410,1
31411,1
31412,2
31413,1
31414,1
31415,1
31416,1
31417,1
31418,2
31419,1
31420,3
31421,1
31422,1
31423,1
31424,4
31425,1
31426,1
31427,1
31428,3
31429,1
31430,2
31431,NA
31432,1
31433,1
31434,1
31435,1
31436,1
31437,1
31438,1
31439,1
31440,1
31441,1
31442,1
31443,4
31444,1
31445,1
31446,1
31447,1
31448,1
31449,1
31450,2
31451,2
31452,2
31453,1
31454,2
31455,1
31456,1
31457,1
31458,1
31459,1
31460,2
31461,1
31462,2
31463,3
31464,1
31465,1
31466,1
31467,3
31468,1
31469,1
31470,1
31471,3
31472,1
31473,2
31474,2
31475,1
31476,3
31477,2
31478,1
31479,2
31480,1
31481,1
31482,1
31483,1
31484,1
31485,1
31486,1
31487,2
31488,1
31489,1
31490,4
31491,1
31492,2
31493,1
31494,1
31495,1
31496,1
31497,4
31498,4
31499,1
31500,1
31501,3
31502,1
31503,1
31504,1
31505,1
31506,1
31507,1
31508,1
31509,1
31510,1
31511,1
31512,3
31513,1
31514,3
31515,2
31516,3
31517,3
31518,2
31519,1
31520,1
31521,1
31522,1
31523,NA
31524,1
31525,1
31526,1
31527,1
31528,1
31529,1
31530,1
31531,1
31532,1
31533,3
31534,3
31535,2
31536,1
31537,1
31538,3
31539,3
31540,1
31541,1
31542,4
31543,1
31544,3
31545,1
31546,2
31547,1
31548,1
31549,2
31550,2
31551,1
31552,1
31553,1
31554,3
31555,1
31556,3
31557,1
31558,1
31559,1
31560,1
31561,1
31562,1
31563,1
31564,1
31565,3
31566,1
31567,1
31568,1
31569,1
31570,1
31571,2
31572,1
31573,3
31574,1
31575,1
31576,3
31577,1
31578,1
31579,1
31580,2
31581,1
31582,1
31583,3
31584,1
31585,2
31586,NA
31587,1
31588,1
31589,1
31590,1
31591,2
31592,3
31593,1
31594,1
31595,1
31596,1
31597,1
31598,1
31599,1
31600,4
31601,1
31602,1
31603,1
31604,1
31605,3
31606,1
31607,3
31608,4
31609,1
31610,1
31611,1
31612,3
31613,1
31614,1
31615,4
31616,1
31617,1
31618,1
31619,1
31620,1
31621,2
31622,1
31623,3
31624,1
31625,1
31626,1
31627,1
31628,1
31629,2
31630,1
31631,3
31632,3
31633,1
31634,3
31635,3
31636,1
31637,1
31638,1
31639,1
31640,3
31641,1
31642,4
31643,1
31644,4
31645,4
31646,2
31647,2
31648,1
31649,1
31650,3
31651,3
31652,1
31653,1
31654,1
31655,1
31656,1
31657,1
31658,1
31659,2
31660,1
31661,1
31662,2
31663,1
31664,1
31665,1
31666,1
31667,1
31668,1
31669,1
31670,1
31671,1
31672,1
31673,2
31674,1
31675,2
31676,1
31677,1
31678,1
31679,1
31680,3
31681,2
31682,1
31683,2
31684,1
31685,1
31686,4
31687,1
31688,1
31689,3
31690,1
31691,1
31692,1
31693,1
31694,1
31695,1
31696,1
31697,NA
31698,1
31699,1
31700,3
31701,4
31702,3
31703,1
31704,2
31705,1
31706,1
31707,1
31708,1
31709,1
31710,1
31711,3
31712,1
31713,1
31714,2
31715,2
31716,2
31717,3
31718,2
31719,1
31720,4
31721,1
31722,1
31723,1
31724,1
31725,2
31726,1
31727,1
31728,1
31729,1
31730,2
31731,1
31732,1
31733,3
31734,1
31735,1
31736,1
31737,1
31738,1
31739,2
31740,1
31741,1
31742,1
31743,3
31744,1
31745,1
31746,1
31747,1
31748,4
31749,NA
31750,1
31751,3
31752,2
31753,1
31754,1
31755,1
31756,3
31757,1
31758,1
31759,4
31760,1
31761,1
31762,3
31763,1
31764,3
31765,1
31766,NA
31767,1
31768,2
31769,3
31770,4
31771,1
31772,1
31773,1
31774,1
31775,1
31776,1
31777,3
31778,1
31779,3
31780,1
31781,1
31782,1
31783,1
31784,1
31785,1
31786,1
31787,1
31788,1
31789,1
31790,1
31791,2
31792,1
31793,1
31794,4
31795,1
31796,1
31797,3
31798,1
31799,1
31800,1
31801,2
31802,1
31803,1
31804,1
31805,1
31806,1
31807,1
31808,1
31809,1
31810,1
31811,3
31812,3
31813,1
31814,1
31815,1
31816,2
31817,1
31818,2
31819,3
31820,1
31821,1
31822,1
31823,1
31824,1
31825,1
31826,3
31827,1
31828,2
31829,1
31830,1
31831,1
31832,1
31833,3
31834,1
31835,1
31836,2
31837,3
31838,1
31839,NA
31840,4
31841,3
31842,1
31843,1
31844,1
31845,1
31846,1
31847,1
31848,1
31849,1
31850,2
31851,1
31852,2
31853,1
31854,1
31855,3
31856,1
31857,1
31858,3
31859,1
31860,1
31861,1
31862,1
31863,1
31864,1
31865,2
31866,1
31867,1
31868,1
31869,1
31870,3
31871,1
31872,1
31873,4
31874,1
31875,1
31876,1
31877,1
31878,1
31879,1
31880,3
31881,3
31882,1
31883,1
31884,1
31885,1
31886,1
31887,1
31888,1
31889,3
31890,1
31891,3
31892,1
31893,1
31894,2
31895,1
31896,1
31897,1
31898,1
31899,1
31900,1
31901,1
31902,1
31903,1
31904,1
31905,1
31906,1
31907,1
31908,1
31909,1
31910,1
31911,1
31912,1
31913,1
31914,1
31915,1
31916,1
31917,1
31918,1
31919,1
31920,1
31921,3
31922,2
31923,1
31924,1
31925,3
31926,1
31927,1
31928,1
31929,1
31930,4
31931,1
31932,1
31933,1
31934,1
31935,2
31936,2
31937,1
31938,1
31939,1
31940,3
31941,1
31942,1
31943,1
31944,1
31945,1
31946,1
31947,1
31948,3
31949,1
31950,3
31951,1
31952,1
31953,1
31954,1
31955,2
31956,3
31957,1
31958,1
31959,1
31960,2
31961,4
31962,2
31963,3
31964,1
31965,1
31966,2
31967,1
31968,4
31969,3
31970,1
31971,1
31972,1
31973,1
31974,4
31975,3
31976,1
31977,1
31978,1
31979,1
31980,1
31981,4
31982,3
31983,NA
31984,1
31985,1
31986,2
31987,1
31988,1
31989,3
31990,1
31991,1
31992,1
31993,1
31994,1
31995,1
31996,1
31997,1
31998,1
31999,1
32000,3
32001,1
32002,4
32003,1
32004,1
32005,1
32006,1
32007,1
32008,1
32009,3
32010,1
32011,1
32012,1
32013,1
32014,1
32015,1
32016,1
32017,1
32018,1
32019,1
32020,3
32021,1
32022,1
32023,1
32024,1
32025,2
32026,1
32027,3
32028,NA
32029,1
32030,1
32031,3
32032,2
32033,1
32034,4
32035,1
32036,1
32037,2
32038,2
32039,1
32040,1
32041,1
32042,1
32043,1
32044,1
32045,1
32046,1
32047,1
32048,1
32049,1
32050,4
32051,1
32052,1
32053,3
32054,2
32055,1
32056,2
32057,1
32058,3
32059,1
32060,1
32061,1
32062,1
32063,1
32064,1
32065,NA
32066,1
32067,1
32068,1
32069,1
32070,1
32071,1
32072,1
32073,2
32074,1
32075,1
32076,3
32077,1
32078,1
32079,1
32080,2
32081,3
32082,1
32083,1
32084,1
32085,NA
32086,2
32087,4
32088,4
32089,1
32090,1
32091,NA
32092,1
32093,2
32094,1
32095,1
32096,3
32097,4
32098,1
32099,1
32100,1
32101,1
32102,1
32103,1
32104,1
32105,3
32106,3
32107,1
32108,3
32109,2
32110,1
32111,2
32112,1
32113,1
32114,4
32115,1
32116,1
32117,3
32118,1
32119,2
32120,1
32121,1
32122,1
32123,1
32124,1
32125,1
32126,2
32127,1
32128,1
32129,1
32130,1
32131,1
32132,1
32133,1
32134,1
32135,1
32136,1
32137,2
32138,1
32139,3
32140,1
32141,1
32142,3
32143,1
32144,1
32145,1
32146,1
32147,2
32148,1
32149,3
32150,1
32151,1
32152,4
32153,1
32154,1
32155,1
32156,1
32157,4
32158,1
32159,2
32160,1
32161,3
32162,2
32163,2
32164,1
32165,3
32166,1
32167,1
32168,4
32169,1
32170,1
32171,1
32172,1
32173,1
32174,2
32175,1
32176,1
32177,1
32178,1
32179,4
32180,1
32181,1
32182,1
32183,1
32184,1
32185,3
32186,4
32187,3
32188,1
32189,1
32190,1
32191,1
32192,1
32193,1
32194,3
32195,3
32196,1
32197,1
32198,1
32199,1
32200,1
32201,1
32202,1
32203,1
32204,1
32205,1
32206,1
32207,1
32208,1
32209,1
32210,1
32211,1
32212,1
32213,1
32214,4
32215,4
32216,1
32217,4
32218,2
32219,4
32220,1
32221,1
32222,2
32223,2
32224,1
32225,2
32226,1
32227,2
