SEQN,RIAGENDR,RIDAGEYR,RIDRETH1,DMDEDUC2,INDFMPIR
21005,1,19,4,NA,2.44
21006,2,16,4,NA,2.47
21007,2,14,3,NA,1.6
21008,1,17,4,NA,2.75
21009,1,55,3,3,3.79
21010,2,52,3,4,1.24
21011,1,0,1,NA,NA
21012,1,63,4,3,0.89
21013,2,13,4,NA,0.59
21014,1,3,4,NA,0.63
21015,1,83,3,4,1.2
21016,1,13,4,NA,2.58
21017,2,37,1,2,0.21
21018,2,33,4,3,2.06
21019,2,50,1,1,0.16
21020,2,55,4,2,2.48
21021,2,72,3,3,NA
21022,2,2,1,NA,0.88
21023,2,19,4,NA,0
21024,1,14,3,NA,3.51
21025,2,18,2,NA,1.13
21026,1,16,4,NA,2.17
21027,1,8,4,NA,0.53
21028,2,0,4,NA,0.87
21029,1,40,3,5,5
21030,2,30,3,2,2.51
21031,2,37,3,5,5
21032,2,17,3,NA,1.54
21033,2,57,4,3,0.33
21034,1,21,3,2,3.19
21035,1,15,4,NA,3.47
21036,2,85,3,2,3.34
21037,1,85,3,1,1.72
21038,1,14,1,NA,1.83
21039,2,84,3,3,0.92
21040,1,2,3,NA,1.28
21041,1,12,1,NA,0.37
21042,1,2,1,NA,0
21043,1,31,4,3,0.37
21044,2,19,1,NA,0.74
21045,1,9,3,NA,0.86
21046,1,4,1,NA,1.68
21047,2,15,1,NA,0.57
21048,2,42,1,3,0.48
21049,2,16,1,NA,0.89
21050,1,69,3,3,1.92
21051,1,55,3,3,5
21052,2,37,3,3,2.45
21053,1,7,1,NA,0.26
21054,2,59,3,4,4.48
21055,2,73,1,1,1.47
21056,1,36,3,5,NA
21057,1,17,2,NA,4.62
21058,1,78,4,1,1.82
21059,2,51,3,5,5
21060,2,11,3,NA,3.95
21061,1,71,3,2,1.76
21062,2,11,3,NA,2.74
21063,1,69,1,1,1.17
21064,1,11,1,NA,2.79
21065,1,52,3,5,5
21066,2,76,2,3,0.8
21067,1,25,3,3,2.4
21068,2,57,3,1,1.07
21069,1,70,1,1,0.08
21070,2,31,3,4,2.29
21071,1,15,4,NA,0.6
21072,2,4,2,NA,5
21073,2,0,3,NA,NA
21074,2,76,4,2,0.74
21075,2,8,4,NA,0.82
21076,1,47,4,4,5
21077,1,1,4,NA,0.49
21078,1,85,3,3,1.92
21079,2,8,1,NA,2.34
21080,2,60,3,4,2.55
21081,1,0,4,NA,NA
21082,2,15,3,NA,3.98
21083,2,80,1,1,1.18
21084,2,57,3,4,4.62
21085,1,26,1,3,0.93
21086,1,15,3,NA,5
21087,1,28,1,2,0.65
21088,2,14,1,NA,3.71
21089,2,38,1,1,NA
21090,1,56,4,2,5
21091,2,25,3,5,1.61
21092,2,0,3,NA,1.3
21093,2,64,2,1,0.61
21094,2,9,1,NA,0.41
21095,2,14,1,NA,1.52
21096,2,68,3,4,2.43
21097,2,23,4,4,3.28
21098,2,10,1,NA,0.64
21099,1,75,3,3,NA
21100,1,17,3,NA,4.79
21101,1,6,4,NA,0.53
21102,1,1,4,NA,1.64
21103,1,13,3,NA,1.36
21104,1,70,4,1,5
21105,1,26,3,4,0.43
21106,2,2,1,NA,2.62
21107,1,20,3,3,2.89
21108,2,7,1,NA,3.61
21109,1,25,3,5,1.83
21110,1,31,1,2,2.4
21111,2,85,2,1,NA
21112,1,76,5,1,0.99
21113,1,81,4,9,0.38
21114,2,14,4,NA,0.65
21115,2,32,1,1,0.35
21116,2,38,1,2,1.12
21117,2,63,3,3,1.92
21118,1,66,1,1,1.39
21119,1,12,3,NA,2.17
21120,2,60,3,4,2.21
21121,2,4,1,NA,1.66
21122,2,37,1,5,1.42
21123,1,75,3,5,4.13
21124,1,55,4,4,1.34
21125,1,36,1,2,0.59
21126,1,4,3,NA,5
21127,2,1,4,NA,1.91
21128,1,0,3,NA,0.74
21129,1,37,5,5,5
21130,2,20,4,4,3.98
21131,2,4,2,NA,1.06
21132,1,59,4,3,4.15
21133,2,1,1,NA,1.62
21134,1,85,3,2,NA
21135,1,0,1,NA,0.7
21136,1,72,3,3,4.96
21137,1,19,1,NA,1.02
21138,1,37,1,1,NA
21139,1,5,1,NA,NA
21140,2,9,1,NA,0.83
21141,1,37,3,3,1.21
21142,2,31,3,2,5
21143,1,65,3,2,5
21144,2,13,4,NA,5
21145,1,75,4,4,2.39
21146,1,0,5,NA,0.33
21147,2,31,3,5,2.74
21148,1,13,1,NA,0.04
21149,2,63,4,4,1.29
21150,1,0,1,NA,0.63
21151,1,8,4,NA,5
21152,2,5,4,NA,2.2
21153,1,49,4,4,3.22
21154,1,27,3,3,1.04
21155,2,83,3,5,NA
21156,2,67,1,1,NA
21157,2,9,1,NA,1.98
21158,2,71,1,3,1.11
21159,2,51,3,3,1.05
21160,2,85,3,2,1.93
21161,1,16,1,NA,3.71
21162,1,17,4,NA,0.95
21163,1,12,4,NA,2.2
21164,1,15,1,NA,5
21165,2,75,3,1,1.22
21166,1,6,3,NA,0.74
21167,2,60,3,5,5
21168,2,8,1,NA,0.87
21169,1,65,3,4,3.71
21170,1,3,3,NA,3.25
21171,2,20,4,4,0.1
21172,1,51,4,3,0.77
21173,2,69,4,1,2.06
21174,1,7,5,NA,1.82
21175,2,18,4,NA,1.11
21176,2,15,4,NA,0.76
21177,2,43,4,4,2.67
21178,2,45,1,1,1.6
21179,1,13,1,NA,5
21180,1,15,3,NA,5
21181,2,61,3,3,0.86
21182,2,14,3,NA,0.45
21183,1,73,3,4,4
21184,2,47,3,4,1.23
21185,1,61,3,5,5
21186,2,18,1,NA,3.47
21187,1,8,5,NA,1.28
21188,1,0,4,NA,0.4
21189,2,18,1,NA,4.78
21190,2,17,1,NA,0.21
21191,2,0,3,NA,3.71
21192,2,80,3,1,1.4
21193,1,40,4,3,4.18
21194,2,29,4,3,1.66
21195,1,26,1,1,0
21196,1,16,3,NA,NA
21197,2,14,1,NA,0.91
21198,1,1,3,NA,0.61
21199,1,85,4,2,1.52
21200,2,13,4,NA,1.59
21201,1,17,4,NA,1.25
21202,2,16,4,NA,0.65
21203,1,2,1,NA,2.05
21204,1,62,1,2,1.2
21205,2,40,4,4,0.28
21206,1,20,4,2,0.58
21207,2,13,1,NA,0.66
21208,1,4,3,NA,0.53
21209,2,54,3,4,1.23
21210,2,18,4,NA,1.22
21211,2,23,4,3,NA
21212,2,7,3,NA,0.63
21213,2,51,4,4,5
21214,2,36,3,5,5
21215,1,23,3,5,5
21216,1,74,3,1,2.23
21217,2,76,3,2,1.24
21218,2,17,1,NA,NA
21219,1,21,3,4,3.12
21220,2,44,2,4,4.68
21221,1,23,1,3,2.29
21222,1,3,4,NA,1.12
21223,2,34,3,3,0.64
21224,2,47,1,2,0.67
21225,2,26,3,5,2.15
21226,2,2,1,NA,0.79
21227,1,1,4,NA,1.55
21228,2,63,5,4,3.2
21229,2,17,4,NA,5
21230,2,8,4,NA,0.82
21231,1,0,4,NA,2.48
21232,1,24,3,4,5
21233,2,49,4,2,5
21234,1,1,4,NA,0.66
21235,1,4,3,NA,2.12
21236,2,14,4,NA,0.13
21237,2,9,4,NA,1.49
21238,1,12,4,NA,3.4
21239,1,38,4,1,1.04
21240,2,74,3,4,1.17
21241,2,17,4,NA,0.43
21242,1,26,3,5,5
21243,1,14,3,NA,0.28
21244,2,27,3,4,5
21245,1,17,3,NA,5
21246,1,12,1,NA,3.17
21247,1,31,3,5,5
21248,1,7,4,NA,1.08
21249,2,16,1,NA,4.67
21250,2,12,3,NA,0.92
21251,1,4,5,NA,5
21252,2,62,3,4,2.64
21253,1,85,3,3,1.29
21254,2,10,1,NA,1.44
21255,2,6,1,NA,1.72
21256,1,27,1,1,2.38
21257,2,67,4,1,1.64
21258,1,26,2,2,NA
21259,1,0,4,NA,0
21260,2,16,2,NA,NA
21261,1,5,1,NA,1.39
21262,2,3,2,NA,2.9
21263,2,85,3,1,2.48
21264,1,41,2,2,2.99
21265,1,43,3,4,3.76
21266,2,19,3,NA,4.64
21267,2,19,4,NA,0
21268,2,1,4,NA,0.49
21269,2,14,4,NA,2.16
21270,2,85,3,4,4.3
21271,1,45,4,4,2.87
21272,1,44,4,4,1.44
21273,1,16,3,NA,4.35
21274,2,26,4,5,3.33
21275,2,65,1,1,2.42
21276,1,72,3,5,5
21277,2,55,3,3,2.78
21278,1,12,1,NA,NA
21279,2,40,1,4,1.64
21280,1,3,3,NA,1.67
21281,2,64,1,1,0.96
21282,1,10,3,NA,1.44
21283,2,57,3,4,4
21284,1,15,3,NA,5
21285,2,22,3,4,2.15
21286,1,41,1,1,0.35
21287,1,37,3,3,2.92
21288,2,8,3,NA,1.15
21289,2,9,4,NA,0.38
21290,1,19,3,NA,5
21291,2,85,3,1,0.94
21292,1,63,3,4,5
21293,2,11,4,NA,1.08
21294,2,32,3,5,2.62
21295,2,70,5,1,1.45
21296,2,4,5,NA,NA
